date	price
2019-01-01	131.46
2019-01-02	138.14
2019-01-03	152.86
2019-01-04	146.73
2019-01-05	153.06
2019-01-06	153.65
2019-01-07	154.70
2019-01-08	149.90
2019-01-09	148.15
2019-01-10	148.74
2019-01-11	126.62
2019-01-12	124.63
2019-01-13	123.76
2019-01-14	114.77
2019-01-15	127.41
2019-01-16	119.81
2019-01-17	122.25
2019-01-18	121.93
2019-01-19	119.17
2019-01-20	122.93
2019-01-21	117.61
2019-01-22	115.83
2019-01-23	117.82
2019-01-24	116.42
2019-01-25	116.25
2019-01-26	115.15
2019-01-27	115.34
2019-01-28	112.51
2019-01-29	105.35
2019-01-30	104.60
2019-01-31	108.27
2019-02-01	106.34
2019-02-02	107.01
2019-02-03	108.78
2019-02-04	107.20
2019-02-05	107.62
2019-02-06	107.32
2019-02-07	104.62
2019-02-08	104.27
2019-02-09	119.33
2019-02-10	119.49
2019-02-11	124.89
2019-02-12	120.97
2019-02-13	122.54
2019-02-14	122.09
2019-02-15	120.59
2019-02-16	121.57
2019-02-17	122.94
2019-02-18	133.88
2019-02-19	145.33
2019-02-20	143.66
2019-02-21	148.87
2019-02-22	145.30
2019-02-23	148.04
2019-02-24	157.68
2019-02-25	134.32
2019-02-26	137.82
2019-02-27	136.00
2019-02-28	134.85
2019-03-01	135.49
2019-03-02	134.95
2019-03-03	132.41
2019-03-04	130.54
2019-03-05	125.62
2019-03-06	136.55
2019-03-07	137.33
2019-03-08	136.79
2019-03-09	133.54
2019-03-10	137.20
2019-03-11	135.62
2019-03-12	132.39
2019-03-13	133.29
2019-03-14	131.67
2019-03-15	132.15
2019-03-16	136.45
2019-03-17	141.09
2019-03-18	138.55
2019-03-19	137.66
2019-03-20	138.52
2019-03-21	139.08
2019-03-22	135.06
2019-03-23	136.10
2019-03-24	137.20
2019-03-25	136.06
2019-03-26	133.82
2019-03-27	134.03
2019-03-28	139.64
2019-03-29	137.81
2019-03-30	143.15
2019-03-31	142.29
2019-04-01	141.59
2019-04-02	141.51
2019-04-03	164.05
2019-04-04	160.43
2019-04-05	157.41
2019-04-06	165.14
2019-04-07	165.33
2019-04-08	174.09
2019-04-09	180.01
2019-04-10	175.29
2019-04-11	177.33
2019-04-12	165.04
2019-04-13	164.57
2019-04-14	163.97
2019-04-15	167.62
2019-04-16	160.53
2019-04-17	166.48
2019-04-18	166.33
2019-04-19	173.41
2019-04-20	173.23
2019-04-21	173.17
2019-04-22	169.99
2019-04-23	171.04
2019-04-24	170.91
2019-04-25	165.67
2019-04-26	153.93
2019-04-27	157.38
2019-04-28	158.29
2019-04-29	156.60
2019-04-30	154.08
2019-05-01	160.74
2019-05-02	159.49
2019-05-03	160.96
2019-05-04	166.63
2019-05-05	162.84
2019-05-06	162.37
2019-05-07	172.83
2019-05-08	170.10
2019-05-09	170.11
2019-05-10	170.58
2019-05-11	172.68
2019-05-12	196.69
2019-05-13	187.27
2019-05-14	196.08
2019-05-15	218.28
2019-05-16	248.75
2019-05-17	264.90
2019-05-18	243.57
2019-05-19	235.33
2019-05-20	260.60
2019-05-21	251.96
2019-05-22	256.08
2019-05-23	244.55
2019-05-24	244.65
2019-05-25	248.55
2019-05-26	250.82
2019-05-27	266.12
2019-05-28	273.41
2019-05-29	271.23
2019-05-30	268.79
2019-05-31	255.38
2019-06-01	268.13
2019-06-02	264.73
2019-06-03	269.94
2019-06-04	251.75
2019-06-05	240.24
2019-06-06	246.83
2019-06-07	249.97
2019-06-08	250.64
2019-06-09	244.63
2019-06-10	232.04
2019-06-11	247.25
2019-06-12	245.09
2019-06-13	260.57
2019-06-14	255.12
2019-06-15	263.93
2019-06-16	268.11
2019-06-17	269.07
2019-06-18	273.12
2019-06-19	264.79
2019-06-20	269.15
2019-06-21	272.33
2019-06-22	294.48
2019-06-23	310.65
2019-06-24	307.95
2019-06-25	311.07
2019-06-26	318.64
2019-06-27	337.34
2019-06-28	295.84
2019-06-29	309.95
2019-06-30	321.43
2019-07-01	292.84
2019-07-02	295.26
2019-07-03	290.96
2019-07-04	304.17
2019-07-05	285.22
2019-07-06	287.99
2019-07-07	289.58
2019-07-08	305.34
2019-07-09	312.47
2019-07-10	307.78
2019-07-11	290.01
2019-07-12	268.64
2019-07-13	275.81
2019-07-14	270.31
2019-07-15	227.12
2019-07-16	230.18
2019-07-17	199.94
2019-07-18	210.84
2019-07-19	226.30
2019-07-20	221.11
2019-07-21	228.96
2019-07-22	226.15
2019-07-23	217.65
2019-07-24	213.50
2019-07-25	217.20
2019-07-26	219.49
2019-07-27	219.58
2019-07-28	206.53
2019-07-29	211.23
2019-07-30	210.82
2019-07-31	209.65
2019-08-01	218.61
2019-08-02	216.63
2019-08-03	217.80
2019-08-04	221.42
2019-08-05	221.99
2019-08-06	232.82
2019-08-07	227.02
2019-08-08	226.40
2019-08-09	222.00
2019-08-10	210.15
2019-08-11	206.50
2019-08-12	216.49
2019-08-13	211.11
2019-08-14	209.27
2019-08-15	185.66
2019-08-16	188.15
2019-08-17	185.15
2019-08-18	185.76
2019-08-19	194.36
2019-08-20	202.96
2019-08-21	196.27
2019-08-22	187.02
2019-08-23	191.52
2019-08-24	194.21
2019-08-25	190.56
2019-08-26	186.32
2019-08-27	188.38
2019-08-28	186.97
2019-08-29	173.03
2019-08-30	168.80
2019-08-31	168.67
2019-09-01	172.07
2019-09-02	170.73
2019-09-03	177.72
2019-09-04	178.83
2019-09-05	174.78
2019-09-06	174.19
2019-09-07	169.42
2019-09-08	177.85
2019-09-09	181.48
2019-09-10	181.01
2019-09-11	180.15
2019-09-12	178.08
2019-09-13	181.01
2019-09-14	181.21
2019-09-15	188.31
2019-09-16	189.26
2019-09-17	197.61
2019-09-18	209.21
2019-09-19	210.25
2019-09-20	221.74
2019-09-21	217.95
2019-09-22	215.35
2019-09-23	211.62
2019-09-24	201.00
2019-09-25	168.67
2019-09-26	170.29
2019-09-27	166.22
2019-09-28	173.90
2019-09-29	174.08
2019-09-30	169.69
2019-10-01	179.76
2019-10-02	180.63
2019-10-03	180.58
2019-10-04	176.86
2019-10-05	175.86
2019-10-06	176.28
2019-10-07	170.45
2019-10-08	180.14
2019-10-09	180.79
2019-10-10	193.34
2019-10-11	191.04
2019-10-12	180.55
2019-10-13	179.95
2019-10-14	181.29
2019-10-15	186.62
2019-10-16	180.75
2019-10-17	175.05
2019-10-18	177.48
2019-10-19	172.89
2019-10-20	171.85
2019-10-21	175.21
2019-10-22	174.35
2019-10-23	171.43
2019-10-24	161.58
2019-10-25	160.68
2019-10-26	181.45
2019-10-27	179.54
2019-10-28	183.58
2019-10-29	181.86
2019-10-30	190.51
2019-10-31	183.13
2019-11-01	182.76
2019-11-02	183.06
2019-11-03	183.22
2019-11-04	181.82
2019-11-05	185.76
2019-11-06	189.17
